text,label
//$NON-NLS-1$,3
@code false,10
//$NON-NLS-1$,3
@throws PaintException * if the paint operation failed.,4
@link Compressor,10
"@link RetryPolicy#shouldRetry(Exception, int, int, boolean)",10
* Only used for unit tests.,12
IgnoreCount is not supported by tracepoints,11
* @param testContexts - used to identify the requests,15
// Dispatch to each handler and store response,12
"@return the ""tag"" string used in communication to present given * {@link ClientConnector} type. Terminal may define how to present * the connector.",15
// this is the first time,4
//$NON-NLS-1$,3
//,7
// check updates are using same name,12
//$NON-NLS-1$,3
"// Each datanode has multiple data dirs, check each",12
* @since 5.4,15
// defaultRetryPolicyEnabled = true,12
@deprecated Unsupported operation.,2
// The rest should be a suffix,12
* @param version,15
//$NON-NLS-1$,3
/** * This request object contains all the context information to determine whether * a user has permission to access the target entity. * user : the user who's currently accessing * accessType : the access type against the entity. * entity : the target object user is accessing. * appId : the associated app Id for current access. This could be null * if no app is associated. * appName : the associated app name for current access. This could be null if * no app is associated. */,5
* @see SelectionStatusDialog#computeResult(),10
//$NON-NLS-1$,3
// ALMOST THE SAME AS ICBuildSetting,12
//$NON-NLS-1$,3
"/** * Licensed to the Apache Software Foundation (ASF) under one * or more contributor license agreements. See the NOTICE file * distributed with this work for additional information * regarding copyright ownership. The ASF licenses this file * to you under the Apache License, Version 2.0 (the * ""License""); you may not use this file except in compliance * with the License. You may obtain a copy of the License at * * http://www.apache.org/licenses/LICENSE-2.0 * * Unless required by applicable law or agreed to in writing, software * distributed under the License is distributed on an ""AS IS"" BASIS, * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. * See the License for the specific language governing permissions and * limitations under the License. */",8
* @return array of file content types,15
Contributors: * QNX Software Systems - Initial API and implementation,9
"Create the contents of this tab page. Subclasses cannot override this, * instead they must implement <code>doCreatePreferences</code>. <code>doCreatePreview</code> may also * be overridden as necessary.",12
@code true,10
// shutdown cluster and restart,12
"Test that we properly close off our input to the subprocess * such that it knows there's no tty connected. This is important * so that, if we use 'ssh', it won't try to prompt for a password * and block forever, for example.",12
@link com.google.common.collect.testing.SetTestSuiteBuilder,10
* @param bindings bindings being renamed,15
@see org.eclipse.swt.dnd.DragSourceListener#dragFinished(org.eclipse.swt.dnd.DragSourceEvent),10
// There is no point in checking anything else since we have // decided to do a full build anyway,5
"Indicates whether an endpoint of some range is contained in the range itself (""closed"") or not * (""open""). If a range is unbounded on a side, it is neither open nor closed on that side; the * bound simply does not exist.",12
* @param list list,15
Contributors: * Wind River Systems - initial API and implementation,9
* Print all the information about this AM.,12
Contributors: * Andrew Ferguson (Symbian) - Initial implementation,9
"The AM should decode both parts of the message. The {@link * StrictPreemptionContract} specifies particular allocations that the RM * requires back. The AM can checkpoint containers' state, adjust its execution * plan to move the computation, or take no action and hope that conditions that * caused the RM to ask for the container will change. * <p> * In contrast, the {@link PreemptionContract} also includes a description of * resources with a set of containers. If the AM releases containers matching * that profile, then the containers enumerated in {@link * PreemptionContract#getContainers()} may not be killed. * <p> * Each preemption message reflects the RM's current understanding of the * cluster state, so a request to return <em>N</em> containers may not * reflect containers the AM is releasing, recently exited containers the RM has * yet to learn about, or new containers allocated before the message was * generated. Conversely, an RM may request a different profile of containers in * subsequent requests. * <p> * The policy enforced by the RM is part of the scheduler. Generally, only * containers that have been requested consistently should be killed, but the * details are not specified.",11
