text,label
Only calculate the descriptor name once,0
Let's make it a bit more difficult by setting the target:,0
Check random number,0
only load global abbrevs if user abbrevs file could not be loaded,0
//////////////////////////////////////////////////////////////public methods,0
//TODO: I suspect this isn't needed call isn't needed but don't remove till out of alpha/beta stage,1
This implementation was changed to not introduce multi line content.,0
//{{{ getSearchBar() method,0
write charset to header,0
//height = (int)glyphs.getLogicalBounds().getHeight();,0
Assume it is the URL,0
"We still have to bind a value, or else the PS will throw an exception.",0
Change the parent (which was the class static) to the class instance We really need to check if we're a static inner class here first... but for some reason Java won't show the static modifier on our fake inner classes... could generate a flag field.,1
parse the rdiff,0
//0000 0000 0001 //0000 0000 0010 //0000 0000 0100 //0000 0000 1000 //0001 0000 0000 //0010 0000 0000 //0100 0000 0000 //1000 0000 0000,0
i18n[userscript.execOutput=Script execution output],0
i18n[sqlbookmark.enterSql=Please enter a bookmark sql],0
//Only resize once.,0
//check that older is up to date with a newer dest,0
"Absolute value, since the relative x positions are reversed for horizontal orientation",0
This test should work whether or not all Nulls are equal,0
not found at all.,0
i.e. GET,0
//{{{ getParentElement() method,0
Done,0
"double-testing args.length here, but it avoids duplicating the proc-setup code in two places",0
remember previously selected folder,0
"TODO: For JFreeChart 1.2.0, this method should go in the ShapeUtilities class",1
i18n[ColorPropertiesPanel.objectTreeBackgroundColorChooserDialogTitle=Select Background Color for Object Tree],0
//{{{ handleError() method,0
don't change name if merging,0
Fill the polygon,0
//{{{ focusOnTextArea() method,0
TODO: RESTRICT VIOLATION,1
"Recognizer for ModelElements with package visibility. TODO: This method name was chosen for compatibility with the existing naming scheme, but has the potential of clashing with some future use. @param handle candidate @return true if handle has package visibility",1
verify all events were fired correctly,0
build the command line from what we got the format is ss Get VSS items [-G] [-H] [-I-] [-N] [-O] [-R] [-V] [-W] [-Y] [-?] as specified in the SS.EXE help,0
Implements backspace functionality,0
no title looks better,0
//i18n[ColumnDetailsDialog.cancelButtonLabel=Cancel],0
"Strange, but the Link.getConnection() returns a Collection, not a List! This is a bug, compared to the UML standard (IMHO, mvw). Hence, the LinkEnd is added to the end instead...",1
//i18n[CSVSettingsPanel.dateFormat=Date format],0
-ordinary,0
the clone references the same dataset as the original,0
"Create the analysis dialog using the EDT, and wait for it to finish.",0
JASON: Messages height should be stored with this.,0
equivalent to MRI case '\0':,0
assert level == 0;,0
display downloaded message count in statusbar,0
showing the month number,0
-V Label an existing file or project version,0
"TableModel tm = new DefaultTableModel(new String [] { ""Table"", ""Column"" }, 4) { private static final long serialVersionUID = -8826914717673025881L; public boolean isCellEditable(int rowIndex, int columnIndex) { return false; } };",0
"TODO: In the next line, I should use buildGuard(), but it doesn't show the guard on the diagram... Why? (MVW)",1
this should never happen,0
"Handle Flow exceptions, just propagating them",0
'^',0
add all instance and static methods,0
this message is already cached,0
MRI behavior: value given in seconds; converted to Float; less than or equal to zero returns immediately; returns nil,0
reload complete SchemaInfo,0
//{{{ Miscellaneous methods,0
First try with Project.,0
"// public SQLExecutionInfo(int idx) // { // this(idx, """"); // }",0
"First, try to find a matching constructor accepting a ViolatedConstraintNameExtracter param...",0
This means the cookie was wrong for the URL,0
"// private ResultSet mockResultSet = null; // private static int[] columnIndices = new int[] { 4, 6, 18, 9, 7, 13, 12, 5, 8, 10, 11, 14, 15, 16, 17 };",0
Defer initialization until we're visible,0
This method is called from a thread. In case listeners update Swing controls we invoke later here.,0
named parameter,0
//{{{ setExpansion() method,0
This means no sample is saved,0
Quote original message - different methods for text and html,0
i18n[xmlReformatter.malformedXmlAt=Malformed XML. No ending tag seen for text starting at:\n{0}],0
"case CONSTNODE: handleUselessWarn(node, ""a constant""); return;",0
Java and MRI definitions of remainder are the same.,0
horizontal rectangle,0
getContentPane().validate();,0
"When we leave this block we can be sure all data is really stored in main memory before the new threads start, the new threads will for sure load the data from main memory. This probably is slightly paranoid.",0
//{{{ FirstLine class,0
TODO: Should we be doing anything on deleted elements? This throws an exception on remove events. - skip for now - tfm,1
prompt user for profile,0
force reopen on next sample,0
"first, create bucket for each provider",0
"if it was previously unreferenced, we need to flush in order to get its state into the database in order to execute query",0
(non-Javadoc) @see com.mockobjects.sql.MockDatabaseMetaData#supportsBatchUpdates(),0
There's no global copy either,0
The interpretation of an ambiguous name is context sensitive. We disallow a generic eval( ).,0
Cell Import/Export file not found for user - first time user ran pgm.,0
We don't care about the value - just want to see if it throws,0
//$NON-NLS-1$ //$NON-NLS-1$ $NON-NLS-2$ $NON-NLS-3$ //$NON-NLS-1$,0
"@GuardedBy(""this"") Buffered reader",0
TODO: Find a way to replace this dependency on Project,1
we will highlight tokens until we reach a good stopping place. the first obvious stopping place is the end of the document. the lexer will return null at the end of the document and wee need to stop there.,0
Dispatch to an encoding-specific reader method to populate the readBuffer.,0
warn or GNU,0
date time timezone definition,0
"return the override, if there is one...",0
Remote double-quotes,0
only re-select if only a single row was formerly selected,0
Copy all the Features,0
Invoke setScalarColumnText on each constructor argument.,0
skip all whole exception segments in the range,0
String/Buffer to read it into,0
add external processing command field and button,0
//{{{ updateButtons() method,0
match all matches,0
i18n[popupeditableIoPanel.exportError100=Export Error],0
If it is a list type value...,0
//{{{ getColumnName() method,0
infinity,0
//ISession sourceSession = sessionInfoProv.getCopySourceSession(); //ISession destSession = sessionInfoProv.getCopyDestSession();,0
compare existing entries' hashcode with this,0
load mail extension handler,0
1000..109F;,0
not needed,1
append newline,0
default : 0 => OpaqueExpression set to 1 for test,0
index of left-most brace index of right-most brace,0
score message,0
"i18n[favs.deletelFolder=Are you sure to want to delete the folder \""{0}\"" and all of its contents?]",0
register as a listener for mouse events,0
pre Kaffe 1.1.2,0
@see javax.swing.text.Document#getDefaultRootElement(),0
//{{{ indexDirectory() method,0
//{{{ record() method,0
attempt to load the found library,0
Is there an id attribute?,0
class name (search in the classpath provided for the ejbjar element),0
else ignore,0
special cases for use cases Extending use cases and use case that are being included are not required to have associations.,0
table is empty -> just display empty table,0
//remove any null elements,0
bsh.evalOnly,0
(non-Javadoc) @see org.columba.ristretto.message.Message#getMimePart(int),0
FB00..FB4F;,0
TODO Ignore for now.,1
sorting is disabled,0
otherwise look up the stroke table,0
all the data from the clob has been read. make sure there are no newlines in it,0
"constraintKeys looks like this --> `REFERENCES pubs.dbo.foo (fooid, quuxid)' chop off ""REFERENCES """,0
"'sync' is needed - otherwise 2 threads can load the same class twice, resulting in LinkageError: duplicated class definition. findLoadedClass avoids that, but without sync it won't work.",0
//find the out-of-date targets:,0
retrieve an item,0
"this is a property of the table, which we are updating",0
//{{{ updateScrollBars() method,0
Initialze GEF's version of the loader too TODO: We should probably be passing icons that we loaded ourselves but there doesn't seem to be a way to do that with GEF - tfm,1
"if is a classifier role, it must return all the related messages.",0
This handles the case of a substitution group. //,0
"Set up the DataSource - maxPool is a parameter, so the same code can also be used for setting up the per-thread pools.",0
?o | boolean | True if file1 exists and is owned by the caller's effective uid,0
KeyEvent.isActionKey() method,0
Read the attribute name.,0
(MTransition),0
//NOTE: this is not updated when properties are fetched lazily!,0
N.B. Must use LinkedHashMap for field type XStream creates a plain HashMap if one uses Map as the field type.,0
"This will catch inherited features, or additional things we don't want to worry about.",0
NOTE: this assumes something about how propertySelectFragment is implemented by the subclass! was toUnqotedAliasStrings( getdiscriminatorColumnName() ) before - now tried to remove that unqoting and missing aliases..,1
//ChangePackage,0
Just add a 'not' parent.,0
special case - if the underlying rectangle uses ints we need to create one that uses doubles,0
i18n[graph.formats=Formats],0
Lots of preconditions checked here... Once things are running smoothly we might comment these out (That's what assertions are for).,0
fast and safe respond_to? call site logic,0
Create an empty but initialized instance of a UML Permission. @return an initialized UML Permission instance. TODO: This needs an extra parameter to specify the model/extent where the new element should be created.,1
gradient paint transformer,0
the contract of EntityTuplizer.determineConcreteSubclassEntityName says that returning null is an indication that the specified entity-name (this.getEntityName) should be used.,0
doc =,0
//woops we got an instance of another class hierarchy branch,0
"//with two-deep subqueries, the same alias would get generated for //both using the old method (criteriaQuery.generateSQLAlias()), so //that is now used as a fallback if the main criteria alias isn't set",0
======== panel1 ========,0
i18n[GeneralPreferencesPanel.paths=SQuirreL paths],0
//{{{ cut() method,0
listener cannot be null here,0
"Needed by AbstractTestElement. Also TestElementConverter and TestElementPropertyConverter for handling empty comments //$NON-NLS-1$ N.B. Comments originally only applied to Test Plans, hence the name - which can now not be easily changed",0
key,0
------------- tree structure -----------------,0
Renderer for tree.,0
"To be really sure, let's add the operation that is linked to the action in the model, too - if it is not listed yet. We need this, incase an operation is moved out of the package, or maybe with imported XMI...",0
Test non-empty parameters,0
"'outlineStroke' : immutable, no need to clone reference",0
Add stored proc parent node.,0
"Sets the body of an expression. TODO: This operation is fooling the user in thinking that the body of the object is changed. Instead, a new object is created. There is no other way: a MExpression can not be altered, once created! So, this operation returns a newly created object instead. @param handle The expression to modify. @param body The body to set. @return The newly created expression.",1
public int getPixelWidth() { int pixelByCm = (int) (Toolkit.getDefaultToolkit().getScreenResolution() CM_BY_INCH + 0.5); return (int)(_format.getWidth() pixelByCm + 0.5); } public int getPixelHeight() { int pixelByCm = (int) (Toolkit.getDefaultToolkit().getScreenResolution() CM_BY_INCH + 0.5); return (int)(_format.getHeight() pixelByCm + 0.5); },0
create the tree of objects,0
this.offset -> next of '{',0
"the State of a ClassifierInState is removed, so let's reduce it to a Classifier.",0
to deal with empty subexpressions,0
Windows is LLP64,0
Add styles to use for different types of status messages,0
if not shorthands...,0
break before start of view,0
only track progress for files larger than 100kb in verbose mode,0
use old property name for backwards compatibility,0
//{{{ removeExtendedAttributes() method,0
may only occur as child of the model or in a package,0
//replace the last 0s by the chars contained in s,0
return result,0
expect getFile for updated files that will be removed,0
------------ other methods ------------,0
"Since the user only wants to be notified of updates at startup, return here, thereby freeing up the thread.",0
(non-Javadoc) @see org.eclipse.swt.events.FocusListener#focusLost( org.eclipse.swt.events.FocusEvent),0
"@see org.argouml.model.ModelEventPump#removeClassModelEventListener( java.beans.PropertyChangeListener, java.lang.Object, java.lang.String[])",0
execute command,0
Extra care to be taken since allPosters can be reset while this method is running.,0
//{{{ pushElement() method,0
i18n[DownloadStatusEventHandler.downloadingUpdatesMsg=Downloading Files],0
"we are playing some games with the lexer for efficiency. we could just create a new lexer each time here, but instead, we will just reset it so that it thinks it is starting at the beginning of the document but reporting a funny start colorStartPos. Reseting the lexer causes the close() method on the reader to be called but because the close() method has no effect on the DocumentReader, we can do this.",0
handle an error in conversion of text to object,0
"I guess this can happen as a result of a bad file read? In this case, it would be better to replace the incorrect value with anything valid, e.g. the default value for the property. But for the time being, I just prefer to be aware of any problems occuring here, most likely programming errors, so I'll bail out. (MS Note) Can't bail out - newly create elements have blank values and must get the defaults. Also, when loading previous versions of jmeter test scripts, some values may not be right, and should get default values - MS TODO: review this and possibly change to:",1
@see org.argouml.cognitive.critics.Critic#getWizardClass(org.argouml.cognitive.ToDoItem),0
UIManager.setLookAndFeel(lafName);,0
Will be called asynchronously to the event dispatch thread,0
"(non-Javadoc) @see javax.swing.table.TableModel#isCellEditable(int, int)",0
Allow Headers to override Host setting //$NON-NLS-1$ //Host,0
Fill 2 of value (byte) 33 Fill 6 of value (byte) -19 Fill 4 of value (byte) 33 Fill 2 of value (byte) -19 Fill 2 of value (byte) 33 Fill 22 of value (byte) -19,0
@bgen(jjtree) ReturnStatement,0
line 851,0
create composite,0
Check for uninitialised instance variables and constructor.,0
@see org.tigris.gef.presentation.Fig#getLineWidth(),0
search in specific criteria,0
//e.printStackTrace();,0
normal file descriptor..try to work with it,0
threadVar;,0
"Not currently needed by any Remoteable classes Anyway, would probably be too expensive in terms of network traffic void testIterationStart(LoopIterationEvent event);",0
"Can be missing, e.g. on redirect",0
Maybe we should consider creating a global cache for the random files to make JMeter more efficient.,1
Get the generic clarifier for this designer/poster. @see org.argouml.cognitive.Poster#getClarifier(),0
@see org.tigris.gef.base.PathConv#setClosestPoint(java.awt.Point),0
constructor for the class,0
Cannot pass byte array to Class.forName,0
check if filename defined,0
// This assumes you will want to ignore any update counts,0
"(non-Javadoc) @see org.columba.mail.imap.IImapServer#getMessageSourceStream(java.lang.Object, org.columba.mail.folder.imap.IMAPFolder)",0
@see org.argouml.uml.diagram.state.ui.FigState#getInitialHeight(),0
"Sybase 12.5 doesn't support quotation marks for identifiers, yet reports "" as the identifier quote string - go figure!",0
======== scrollPane4 ========,0
// private final static ILogger s_log = // LoggerController.createLogger(CopyTableCommand.class);,0
Save the .argo entry TODO: Cyclic dependency with PersistenceManager move PersistenceManager..getProjectBaseName() someplace else,1
multiplicity,0
Condition LABEL $NON-NLS-1$,0
Template bodies,0
assume this is a newly instantiated transient object which should be saved rather than updated,0
Remove the object and add it as a sibling. //,0
update the priority of the critic to be the same priority as the decision,0
"no tags, so cannot be XML",0
"We want something of the form: -d "">=YYYY-MM-dd""",0
//do not return a proxy! //(this option indicates we are initializing a proxy),0
"If we don't invokeLater here no Short-Cut-Key is sent to the internal frame seen under java version ""1.4.1_01"" and Linux",0
full-pathname specified == parent dir of path in list,0
(non-Javadoc) @see com.mockobjects.sql.MockDatabaseMetaData#deletesAreDetected(int),0
//i18n[ExcelSettingsPanel.sheetName=Sheet name],0
All the other headers are set up by HTTPSampler2.setupConnection(),0
@see org.argouml.model.PseudostateKind#getInitial(),0
rb_cstr_to_dbl case,0
build a list of unique words in all visible buffers,0
ignore rules for nodes of different class,0
void methods should work,0
"There is no executable command, so we'd better nix the whole deal. //",0
super calls from proxies must use reflected method FIXME: possible to make handles do the superclass call?,1
title x-axis label y-axis label data create legend? generate tooltips? generate URLs?,0
Add our standard marker. //,0
continue...; we'll find out if it ends up not getting saved later,0
Ignore if there is not substantial change. //,0
"(non-Javadoc) @see org.columba.mail.imap.IImapServer#recentChanged(java.lang.String, int)",0
Register tabs to display in the details panel for table nodes.,0
"different border for recurrent events ActivityInteractor.setStaticOverride( AShapeUtil.DEFAULT_OUTLINE_SHAPE_NAME, AShape.A_STROKE, new OverrideFilter() { public Object getOverride(Object subject, Object defaultObject) { return ((ActivityView) subject).getModel() .isRecurrent() ? new BasicStroke(1.0f, BasicStroke.CAP_BUTT, BasicStroke.JOIN_BEVEL, 0, new float[] { 9 }, 0) : defaultObject; } });",0
"not used, but public so theoretically must remain for BC?",1
public String getAgent() { return agent; },0
wait 10 seconds and check for pending commands again this is useful if a command causes a deadlock,0
TODO: should not be using assert here but I don't want to change to IllegalStateException at lead up to a release as I don't know how much testing is done with assert on.,1
"optArgs and restArgs require more work, so isolate them and ArrayList creation here",0
-------------------- Property parsing -------------------- Moved from ProjectHelper. You can override the static method - this is used for backward compatibility (for code that calls the parse method in ProjectHelper).,0
Ignore this since we will throw an exception when all else fails.,0
apply dash style if any,0
//{{{ PluginCacheEntry class,0
@see org.argouml.uml.diagram.ui.FigEdgeModelElement#getNameBounds(),0
i18n[PreferencesPanel.borderLabel={0} Script Settings],0
Check reflexive,0
Match against every other operation but this one. //,0
"no plot, no data",0
"We should reengineer this class so that, rather than the current ad - hoc linear approach to processing a stream of tokens, we instead build up a tree of expressions.",1
draw |_,0
Save most things,0
//lastreplaceposition = lastfoundposition;,0
Note: could cause overlaps in case ClassLoader.this.parent has matches.,0
setFloatable(true);,0
template match number ALL separator,0
Folder that stores Look and Feel jars.,0
//{{{ Class initializer,0
//{{{ Plugin class,0
"Alternatively, we could just return null here, so that you can not create a comment just linked to a comment this way - which is a bit uncommon, but not illegal, so for consistency, we better allow it.",0
there is a selection,0
otherwise a bunch of consecutive C+d's would be merged into one edit,0
add node to tree,0
transaction is needed for the underlying jpa architecture,0
/////////////////////////////////////////////////////////We are through with parsing. Now we store the outcome in _lastRun... and tell the listeners.,0
Copy in ThreadStarter thread context from calling Thread,0
-reserved,0
@todo this is duplicating TestResult information. Only the time is not part of the result. So we'd better derive a new class from TestResult and deal with it. (SB),1
null value means no value,0
//search for the next instance of $ from the 'prev' position,0
TODO: This will need to change when we support multiple user models.,1
"no match, append remainder of buffer and continue with next block",0
space,0
tree cache in optimistic mode seems to have as very difficult time with remove calls on non-existent nodes (NPEs)...,0
"We might want a special case for 19,2. This is very common for money types and here it is converted to 18,1",0
"if the current depth is 0, the root thing being loaded is the many-to-many collection itself. Here, it is alright to use an inner join...",0
Reset the checkbox selected index false when fieldname gains focus,0
"It is possible for a table to contain only columns of types that we cannot process or do selects on, so check for that. Since this check is on the structure of the table rather than the contents, we only need to do it once (ie: it is not needed in getWarningOnProjectedUpdate)",0
Various copy attributes/subelements of <copy> passed thru to <mycopy> //,0
Expose members for extensibility,0
draw units indicator,0
"add the system classpath addExistingToClasspath(classpath,System.getProperty(""java.class.path""));",0
"Check, if we have to create a new implementation.",0
"Color backgroundColor = UIManager.getColor(""TextField.background"");",0
"<!-- begin-user-doc --> The <b>Switch</b> for the model's inheritance hierarchy. It supports the call {@link #doSwitch(EObject) doSwitch(object)} to invoke the <code>caseXXX</code> method for each class of the model, starting with the actual class of the object and proceeding up the inheritance hierarchy until a non-null result is returned, which is the result of the switch. <!-- end-user-doc --> @see org.eclipse.emf.mapping.ecore2xml.Ecore2XMLPackage @generated",0
TODO: Why do we need this when we can just change the font and achieve the same effect?,1
"@see org.argouml.profile.internal.ocl.OclExpressionEvaluator#evaluate(java.util.HashMap, org.argouml.profile.internal.ocl.ModelInterpreter, java.lang.String)",0
"but, lookout, it doesn't work both ways",0
"AShapeUtil.addResizeBoxes(root, SwingConstants.HORIZONTAL, 4);",0
line 980,0
Link the new include relationship in to the ends,0
(non-Javadoc) @see net.sourceforge.squirrel_sql.client.session.ISQLPanelAPI#fileAppend(),0
should alter global state,0
i18n[mysql.createAdd=Add],0
"Column is in table 2, but not table 1 - how else would we get here??",0
The purpose of this method is not explained and it give give NPE depending on z order of figs as they are read. For now ignore if null but for future lets delete this.,0
"For a match to be found, it has to have the same owner, and the same long class name.",0
we need to writeObject() on this since interceptor is user defined,0
//{{{ RolloverButton constructor,0
(non-Javadoc) @see org.columba.core.gui.selection.SelectionHandler#setSelection(org.columba.api.command.DefaultCommandReference[]),0
"check if this is a management frame instance -> if so create submenu to switch perspectives -> otherwise, don't create submenu",0
reset the state,0
\t handled above,0
"Since we are reading Meta-data about the DB, we should never see a BLOB. If we do, the contents are not interpretable by Squirrel, so just tell the user that it is a BLOB and that it has data.",0
backward compatibility with old generated overrides,0
notation events,0
TODO : this is broke for subqueries in statements other than selects...,1
TBLRC 01100,0
line 1100,0
does not remove the entry,0
refresh attribute in case of multivalued attributes.,0
TODO: this seems to be called at startup only so no check so far,0
If saveWorkBench,0
Keep reading till we hit the <argo> tag,0
i18n[ViewLogsSheet.error.clearlogcontents=Error clearing the log contents],0
Test method for 'org.columba.core.tagging.TagManager.addTag(String)',0
getUpdateSQL,0
First determine which charset to use,0
"FIXME Per the RegionFactory class Javadoc, this constructor version should not be necessary. @param props The configuration properties",1
does it matter that this doesn't set the type correctly?,1
?e | boolean | True if file1 exists,0
//Sybase BIT type does not support null values,0
$NON-NLS-1$ $NON-NLS-1$ $NON-NLS-1$ jmeter.log $NON-NLS-1$ sample result log file $NON-NLS-1$ $NON-NLS-1$ $NON-NLS-1$ $NON-NLS-1$ $NON-NLS-1$ $NON-NLS-1$ $NON-NLS-1$ $NON-NLS-1$ $NON-NLS-1$,0
FIXME: this code means that it is not possible to use more than one domain axis for the combined plots...,1
"+ "" <emptyElement></emptyElement>""",0
i18n[HibernateTabPanel.hql=HQL],0
clockseq_low,0
line 726,0
"We not sure the encoding supports this code point, so we write it as a character entity reference.",0
row 2,0
Remove a node,0
//{{{ getDot() method,0
"if there is an explicit mapping to the default group, it is counted",0
"This is a kludge to deal with enumerators, which crash the doSwitch. //",1
//TBD,0
setFont(LookAndFeelMgr.getInstance().getSmallFont());,0
Convert reference to attribute if its type is an EDataType... //,0
Empty paths do not need to be added,0
//{{{ queueAWTRunner() method,0
//int modelCol = getTable().convertColumnIndexToModel(col);,0
"@see tudresden.ocl.check.types.Type2#navigateParameterizedQuery( java.lang.String, tudresden.ocl.check.types.Type[])",0
// collectionOwnerAliases.add( ownerAlias );,0
Unrecognised files are ignored,0
$NON-NLS-1$ default: normal,0
list of suffices,0
"TODO: Find a better default language TODO: We should know the notation language, since it is us",1
We need to be careful that the proxy may be resolved while we are attaching this adapter. We need to avoid attaching the adapter during the resolve and also attaching it again as we walk the eContents() later. Checking here avoids having to check during addAdapter. //,0
//{{{ getExpansion() method,0
"Encode according to the HTTP spec, i.e. UTF-8",0
//{{{ ActionTextField class,0
//{{{ ResultCellRenderer constructor,0
REMEMBER to change this if you change the number of MEs with source path settings,0
---- workCityLabel ----,0
(non-Javadoc) @see net.sourceforge.squirrel_sql.fw.sql.ISQLDatabaseMetaData#getProcedureTerm(),0
TODO implement the difference between oclIsKindOf and oclIsTypeOf,1
"with args, no block",0
Double check the distributed cache,0
initialize any other Figs here,0
//{{{ saveAbbrevs() method,0
build the Activity Diagram,0
"//++ These are JMX names, and must not be changed $NON-NLS-1$",0
loop over all headers,0
Create a new diagram wide settings block which is backed by the project-wide defaults that we were passed,0
new message type introduced in 4.0pre4,0
"no default in DB. If nullable, use null.",0
MDR classes may have a UML or Uml prefix which should be removed.,0
i18n[mysql.withAllFields=With all Fields],0
