code,label
<comment> public int <w> serialized Key Size </w> ( ) { return this . <w> serialized Key Size </w> ; },0
"public <w> Source Parameters </w> <w> get Parameters </w> ( <w> Source Parameters </w> source ) { if ( source ! = null ) { Iterator iter = source . <w> get Parameter Names </w> ( ) ; Iterator <w> values Iter </w> ; String value , <w> par Name </w> ; while ( iter . <w> has Next </w> ( ) = = true ) { <w> par Name </w> = ( String ) iter . next ( ) ; <w> values Iter </w> = source . <w> get Parameter Values </w> ( <w> par Name </w> ) ; while ( <w> values Iter </w> . <w> has Next </w> ( ) = = true ) { value = ( String ) <w> values Iter </w> . next ( ) ; this . parameters . <w> set Parameter </w> ( <w> par Name </w> , value ) ; } } } return parameters ; }",1
public static final String <w> ACCEPTED _ PATHS </w> = <w> ACCEPTED _ PATH 1 </w> + <str-literal>,1
private final int days ;,1
private static final boolean [ ] <w> IS _ CONTROL </w> = new boolean [ <w> ARRAY _ SIZE </w> ] ;,1
public byte [ ] <w> get Type </w> ( ) { if ( type = = null ) parse ( ) ; return type ; },1
"<comment> public org . apache . spark . sql . execution . datasources . parquet . test . avro . <w> Parquet Avro Compat </w> . Builder <w> set Strings Column </w> ( java . util . List < java . lang . String > value ) { validate ( fields ( ) [ 0 ] , value ) ; this . <w> strings _ column </w> = value ; <w> field Set Flags </w> ( ) [ 0 ] = true ; return this ; }",1
<comment> public static final String <w> SSL _ PROTO _ TL Sv 1 _ 1 </w> = <str-literal> <str-literal> <str-literal> ;,0
public <w> Pane Info Tracker </w> ( <w> Timer Internals </w> <w> timer Internals </w> ) { this . <w> timer Internals </w> = <w> timer Internals </w> ; },0
File <w> TEST _ DIRECTORY </w> ;,0
<comment> public String <w> get Public Id </w> ( ) { return this . <w> public Id </w> ; },0
public static final String <w> MIN _ COMPACTION _ LAG _ MS _ CONFIG </w> = <str-literal> <str-literal> <str-literal> ;,0
public String step ( ) { return step ; },0
<comment> long <w> peak Flush Bytes </w> = 0 ;,1
"<comment> static final byte [ ] <w> CHUNK _ SEPARATOR </w> = { <str-literal> , <str-literal> } ;",1
<comment> private final int <w> num Docs </w> ;,0
<comment> public java . io . Serializable <w> get Key </w> ( ) { return this . <w> caching Key </w> ; },0
public long <w> get Last Accessed Time </w> ( ) { <w> check Valid </w> ( ) ; return lastaccessedtime ; },1
"<comment> @ Override public boolean <w> is Ready </w> ( Node node , long now ) { <comment> <comment> return ! <w> metadata Updater </w> . <w> is Update Due </w> ( now ) & & <w> can Send Request </w> ( node . <w> id String </w> ( ) ) ; }",0
public static final int <w> VERSION _ CURRENT </w> = 2 ;,0
private int <w> num Hash Functions </w> ;,0
<comment> private long <w> num Overwrites </w> = 0 ;,0
